id,formattedAddress,addressLine1,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,lotSize,status,price,listingType,listedDate,createdDate,lastSeenDate,daysOnMarket,mlsName,mlsNumber,history,bedrooms,bathrooms,squareFootage,yearBuilt,has_hoa
"2202-Marston-Rd,-Greensboro,-NC-27408","2202 Marston Rd, Greensboro, NC 27408",2202 Marston Rd,Greensboro,NC,37,27408,Guilford,81,36.105865,-79.795489,Single Family,17424.0,Active,775000,Standard,2026-03-11T00:00:00.000Z,2026-03-12T00:00:00.000Z,2026-04-26T09:43:06.065Z,47,TriadMLS,1211510.0,"{'2026-03-11': {'event': 'Sale Listing', 'price': 775000, 'listingType': 'Standard', 'listedDate': '2026-03-11T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 47}}",5.0,3.5,3724.0,1966.0,0
"3-Woodclub-Ct,-Greensboro,-NC-27406","3 Woodclub Ct, Greensboro, NC 27406",3 Woodclub Ct,Greensboro,NC,37,27406,Guilford,81,36.020428,-79.787666,Single Family,13504.0,Active,269990,Standard,2026-03-10T00:00:00.000Z,2026-03-11T00:00:00.000Z,2026-04-26T09:43:06.064Z,48,TriadMLS,1211727.0,"{'2026-03-10': {'event': 'Sale Listing', 'price': 269990, 'listingType': 'Standard', 'listedDate': '2026-03-10T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 48}}",3.0,1.5,1250.0,1972.0,1
"14-Checkerberry-Sq,-Greensboro,-NC-27455","14 Checkerberry Sq, Greensboro, NC 27455",14 Checkerberry Sq,Greensboro,NC,37,27455,Guilford,81,36.149807,-79.80515,Single Family,5663.0,Active,615000,Standard,2026-03-12T00:00:00.000Z,2026-03-13T00:00:00.000Z,2026-04-26T09:43:06.064Z,46,TriadMLS,1211916.0,"{'2026-03-12': {'event': 'Sale Listing', 'price': 615000, 'listingType': 'Standard', 'listedDate': '2026-03-12T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 46}}",3.0,2.5,3123.0,1995.0,1
"1606-End-Pl-W,-Greensboro,-NC-27403","1606 End Pl W, Greensboro, NC 27403",1606 End Pl W,Greensboro,NC,37,27403,Guilford,81,36.073112,-79.81565,Single Family,8276.0,Active,739000,Standard,2026-03-11T00:00:00.000Z,2026-03-12T00:00:00.000Z,2026-04-26T09:43:06.063Z,47,TriadMLS,1211656.0,"{'2026-03-11': {'event': 'Sale Listing', 'price': 739000, 'listingType': 'Standard', 'listedDate': '2026-03-11T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 47}}",3.0,2.0,2419.0,1933.0,0
"100-Brody-Way,-Greensboro,-NC-27455","100 Brody Way, Greensboro, NC 27455",100 Brody Way,Greensboro,NC,37,27455,Guilford,81,36.142168,-79.789262,Townhouse,2614.0,Active,365000,Standard,2026-03-12T00:00:00.000Z,2025-08-09T00:00:00.000Z,2026-04-26T09:43:06.063Z,46,TriadMLS,1211425.0,"{'2025-08-08': {'event': 'Sale Listing', 'price': 365000, 'listingType': 'Standard', 'listedDate': '2025-08-08T00:00:00.000Z', 'removedDate': '2025-09-10T00:00:00.000Z', 'daysOnMarket': 33}, '2026-03-12': {'event': 'Sale Listing', 'price': 365000, 'listingType': 'Standard', 'listedDate': '2026-03-12T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 46}}",4.0,3.0,2498.0,2020.0,1
"3508-Cardinal-Ridge-Dr,-Greensboro,-NC-27410","3508 Cardinal Ridge Dr, Greensboro, NC 27410",3508 Cardinal Ridge Dr,Greensboro,NC,37,27410,Guilford,81,36.135655,-79.934562,Single Family,10454.0,Active,370000,Standard,2026-03-11T00:00:00.000Z,2021-12-23T11:04:45.164Z,2026-04-26T09:43:06.062Z,47,TriadMLS,1211346.0,"{'2026-03-11': {'event': 'Sale Listing', 'price': 370000, 'listingType': 'Standard', 'listedDate': '2026-03-11T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 47}}",3.0,2.5,1749.0,1992.0,0
"15-Harvest-Oak-Ct,-Greensboro,-NC-27406","15 Harvest Oak Ct, Greensboro, NC 27406",15 Harvest Oak Ct,Greensboro,NC,37,27406,Guilford,81,35.976802,-79.713563,Single Family,8712.0,Active,400000,Standard,2026-03-12T00:00:00.000Z,2026-03-13T00:00:00.000Z,2026-04-26T09:43:06.062Z,46,TriadMLS,1211539.0,"{'2026-03-12': {'event': 'Sale Listing', 'price': 400000, 'listingType': 'Standard', 'listedDate': '2026-03-12T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 46}}",4.0,2.5,2221.0,2017.0,1
"3518-Wilcox-Ct,-Greensboro,-NC-27405","3518 Wilcox Ct, Greensboro, NC 27405",3518 Wilcox Ct,Greensboro,NC,37,27405,Guilford,81,36.127144,-79.749854,Single Family,6098.0,Active,338805,New Construction,2026-03-11T00:00:00.000Z,2026-03-12T00:00:00.000Z,2026-04-26T09:43:06.061Z,47,TriadMLS,1211903.0,"{'2026-03-11': {'event': 'Sale Listing', 'price': 338805, 'listingType': 'New Construction', 'listedDate': '2026-03-11T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 47}}",3.0,2.5,2041.0,2026.0,1
"3516-Wilcox-Ct,-Greensboro,-NC-27405","3516 Wilcox Ct, Greensboro, NC 27405",3516 Wilcox Ct,Greensboro,NC,37,27405,Guilford,81,36.127006,-79.74987,Single Family,6098.0,Active,347016,New Construction,2026-03-11T00:00:00.000Z,2026-03-12T00:00:00.000Z,2026-04-26T09:43:06.058Z,47,TriadMLS,1211943.0,"{'2026-03-11': {'event': 'Sale Listing', 'price': 347016, 'listingType': 'New Construction', 'listedDate': '2026-03-11T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 47}}",4.0,2.5,2225.0,2026.0,1
"5934-W-Friendly-Ave-Unit-J,-Greensboro,-NC-27410","5934 W Friendly Ave Unit J, Greensboro, NC 27410",5934 W Friendly Ave Unit J,Greensboro,NC,37,27410,Guilford,81,36.08937,-79.894559,Condo,,Active,154000,Standard,2026-03-16T00:00:00.000Z,2026-03-17T00:00:00.000Z,2026-04-26T09:30:20.097Z,42,TriadMLS,1212538.0,"{'2026-03-16': {'event': 'Sale Listing', 'price': 154000, 'listingType': 'Standard', 'listedDate': '2026-03-16T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 42}}",2.0,2.0,940.0,1986.0,1
